PAINTING_NAME,ARTIST_NAME,PAINTING_IMAGE_PATH
Fallen Angel of Dapyth,Eric N. Duran,hist_paintings\418233298.jpg
Farmhouse in Upper Austria,Gustav Klimt,hist_paintings\2107414418.jpg
Farmstead along the water screened by nine tall trees,Piet Mondrian,hist_paintings\948539533.jpg
Flames of black and white,Eric N. Duran,hist_paintings\1331959168.jpg
Flowers in a Blue Vase,Willem van Leen,hist_paintings\1142398866.jpg
Flowers in a Crystal Vase,Édouard Manet,hist_paintings\173116313.jpg
Forest with a Buck,Rosa Bonheur,hist_paintings\393235131.jpg
Fountain in a Garden in Rome,Alice Bailly,hist_paintings\1113206370.jpg
Friends,Louise Catherine Breslau,hist_paintings\797283561.jpg
Fruit Dish on a Garden Chair,Paul Gauguin,hist_paintings\1890706510.jpg
Gardanne (Horizontal View),Paul Cézanne,hist_paintings\1675085764.jpg
Gathering for the Hunt,Rosa Bonheur,hist_paintings\1766758087.jpg
Genius Alexander,Louise Elisabeth Vigée-Lebrun,hist_paintings\54502666.jpg
Genius of Fame,Louise Elisabeth Vigée-Lebrun,hist_paintings\128237594.jpg
Ginevra de' Benci,Leonardo da Vinci,hist_paintings\2003804307.jpg
Girl Arranging Her Hair,Mary Cassatt,hist_paintings\460092574.jpg
Girl at the Virginal,Caterina van Hemessen,hist_paintings\1283326283.jpg
Girl in a Boat with Geese,Berthe Morisot,hist_paintings\543407841.jpg
Girl Interrupted at Her Music,Johannes Vermeer,hist_paintings\2090251166.jpg
Girl Reading by a Waterfall,Marie Bashkirtseff,hist_paintings\1290385871.jpg
Girl with a Pearl Earring,Johannes Vermeer,hist_paintings\579108330.jpg
Gogh's Stairway at Auvers,Vincent van Gogh,hist_paintings\512762946.jpg
Gold and Silverfish in an Aquarium,Gerrit Willem Dijsselhof,hist_paintings\1337636640.jpg
Granada,John Singer Sargent,hist_paintings\991088566.jpg
Gray Weather,Georges Seurat,hist_paintings\724659527.jpg
Green Wheat Field with Cypress,Vincent van Gogh,hist_paintings\605488362.jpg
Green Wheat Fields,Vincent Van Gogh,hist_paintings\487978797.jpg
Hail Mary,Paul Gauguin,hist_paintings\1191115053.jpg
Head of young girl,Françoise Duparc,hist_paintings\261225568.jpg
Held by Emotion,Melanee Alfonso,hist_paintings\1251756220.jpg
Hell,Hieronymus Bosch,hist_paintings\1497772934.jpg
Highland Raid,Rosa Bonheur,hist_paintings\1168861532.jpg
Houses in Provence,Paul Cézanne,hist_paintings\2017317460.jpg
In Brittany,Pierre-Auguste Renoir,hist_paintings\384306041.jpg
In the Bleu,Amélie Beaury-Saurel,hist_paintings\1029014291.jpg
In the Dining Room,Berthe Morisot,hist_paintings\833571105.jpg
In the Meadow,Rosa Bonheur,hist_paintings\602649368.jpg
In the Studio,Marie Bashkirtseff,hist_paintings\335075412.jpg
In the Woods at Giverny,Claude Monet,hist_paintings\1534547848.jpg
Indigenous Tears,Eric N. Duran,hist_paintings\1969974819.jpg
Interior at Arachon,Édouard Manet,hist_paintings\943705697.jpg
Interior of a Peasant's House,Alexandre Lunois,hist_paintings\333043800.jpg
James Rush,Anna Claypoole Peale,hist_paintings\39514797.jpg
Joan of Arc Hearing the Voices,Luc-Olivier Merson,hist_paintings\1272866371.jpg
Johannisfriedhof in Nuremberg,Albrecht Dürer,hist_paintings\468936991.jpg
Julie Lebrun,Louise Elisabeth Vigée-Lebrun,hist_paintings\399615054.jpg
Katsuyama Neighborhood,Hiroaki Takahashi,hist_paintings\1399084112.jpg
Kirche in Cassone,Gustav Klimt,hist_paintings\1561299539.jpg
Kiss of Judas,Giotto di Bondone,hist_paintings\1480630526.jpg
Kleine Welten IV (Small Worlds IV),Wassily Kandinsky,hist_paintings\1747852572.jpg
Kleine Welten IX (Small Worlds IX),Wassily Kandinsky,hist_paintings\1201048988.jpg
Kleine Welten VI (Small Worlds VI),Wassily Kandinsky,hist_paintings\1413109097.jpg
Kleine Welten VII (Small Worlds VII),Wassily Kandinsky,hist_paintings\1255034236.jpg
La Gousse,Henri de Toulouse–Lautrec,hist_paintings\1917261996.jpg
La Primavera,Sandro Botticelli,hist_paintings\727287921.jpg
Lady with an Ermine,Leonardo da Vinci,hist_paintings\2052953999.jpg
Landscape (1),Pierre-Auguste Renoir,hist_paintings\769777778.jpg
Landscape (2),Pierre-Auguste Renoir,hist_paintings\2104934614.jpg
Landscape - Study painting,Sir Edward Burne–Jones,hist_paintings\607299641.jpg
Landscape at Le Pouldu,Paul Gauguin,hist_paintings\536910504.jpg
Landscape at Les Pâtis,Camille Pissarro,hist_paintings\1832621163.jpg
Landscape at Saint-Charles near Gisors,Camille Pissarro,hist_paintings\1349603725.jpg
Landscape at Saint-Ouen,Georges Seurat,hist_paintings\851980802.jpg
Landscape from Pontoise,Camille Pissarro,hist_paintings\1693010988.jpg
Landscape near Arnhem,Piet Mondrian,hist_paintings\392933576.jpg
Landscape,Edgar Degas,hist_paintings\506224232.jpg
Langlois Bridge at Arles,Vincent van Gogh,hist_paintings\1896924274.jpg
Last Judgement,Hieronymus Bosch,hist_paintings\1817680272.jpg
Lazarus and the Rich Man,Jacopo Bassano,hist_paintings\1246706950.jpg
Le Colin-Maillard,Alexandre Lunois,hist_paintings\1170233202.jpg
Le pont des Arts,Paul Signac,hist_paintings\2004926853.jpg
Les Andelys Côte d’Aval,Paul Signac,hist_paintings\948250871.jpg
Les Bavardes,Jacqueline Marval,hist_paintings\1156343640.jpg
Les Coquettes,Jacqueline Marval,hist_paintings\120276347.jpg
Lilac Bush,Vincent van Gogh,hist_paintings\346680174.jpg
Lion,Rosa Bonheur,hist_paintings\246064530.jpg
Lord Rivers's Stud Farm,Jacques–Laurent Agasse,hist_paintings\473248149.jpg
Luncheon,Pierre-Auguste Renoir,hist_paintings\64770269.jpg
Lying Nude,Louise Catherine Breslau,hist_paintings\522151575.jpg
Madame X (Madame Pierre Gautreau),John Singer Sargent,hist_paintings\325044473.jpg
Madonna with the Blue Diadem,Raffaello Sanzio,hist_paintings\1353887897.jpg
Maenad,Louise Elisabeth Vigée-Lebrun,hist_paintings\1074162905.jpg
Malcesine am Gardasee,Gustav Klimt,hist_paintings\1857968174.jpg
Man Wearing Laurels,John Singer Sargent,hist_paintings\660856643.jpg
Marcelle Lender Dancing the Bolero in Chilpéric,Henri de Toulouse–Lautrec,hist_paintings\50707232.jpg
Marianne Beckett,Anna Claypoole Peale,hist_paintings\84663837.jpg
Marie Antoinette and her Children,Louise Elisabeth Vigée-Lebrun,hist_paintings\2061310943.jpg
Marie-Antoinette and her children,Louise Elisabeth Vigée-Lebrun,hist_paintings\100055464.jpg
Maxime Dethomas,Henri de Toulouse–Lautrec,hist_paintings\1804501767.jpg
Meadow,Pierre-Auguste Renoir,hist_paintings\1123543939.jpg
Mona Lisa,Leonardo da Vinci,hist_paintings\63793327.jpg
Mont Sainte-Victoire and the Viaduct of the Arc River Valley,Paul Cézanne,hist_paintings\645198401.jpg
Mont Sainte-Victoire,Paul Cézanne,hist_paintings\1875259418.jpg
Montagne Sainte-Victoire,Pierre-Auguste Renoir,hist_paintings\997637344.jpg
Moon at Egota Tokyo,Hiroaki Takahashi,hist_paintings\137353656.jpg
Mount Fuji From Mizukubo,Hiroaki Takahashi,hist_paintings\1741585619.jpg
Mäda Primavesi,ustav Klimt,hist_paintings\1628546645.jpg
Naked woman in bed,Edgar Degas,hist_paintings\493987456.jpg
Natural Death,Maria Blanchard,hist_paintings\879932795.jpg
Nonchaloir,John Singer Sargent,hist_paintings\2110196406.jpg
Nude Girl,Gwen John,hist_paintings\650174427.jpg
Nymphs and a Satyr,Nicolas Poussin,hist_paintings\1728887487.jpg
Offering the panel to the bullfighter,Mary Cassatt,hist_paintings\314592589.jpg
Officer and Laughing Girl,Johannes Vermeer,hist_paintings\310397324.jpg
Old Tower at Avignon,Samuel Colman,hist_paintings\1890409366.jpg
On the Grass,Pierre-Auguste Renoir,hist_paintings\252798117.jpg
Orchard in Bloom,Camille Pissarro,hist_paintings\256765457.jpg
Orchard,Alice Bailly,hist_paintings\1134757889.jpg
Orgasm,Eric N. Duran,hist_paintings\1570581822.jpg
Our Girl Scouts,Amélie Beaury-Saurel,hist_paintings\481223391.jpg
Oysters,Édouard Manet,hist_paintings\1579705850.jpg
Painting Girl,Louise Catherine Breslau,hist_paintings\705007509.jpg
Pallas Athena,Gustav Klimt,hist_paintings\1582783039.jpg
Paris Mountain,Eric. N Duran,hist_paintings\282255168.jpg
Parnassus,Sir Edward Burne–Jones,hist_paintings\1330506254.jpg
Pears,Édouard Manet,hist_paintings\758458258.jpg
Peasant Woman Carrying Two Bundles of Hay,Camille Pissarro,hist_paintings\1639119198.jpg
Pelagia Sapieha née Potocka,Louise Elisabeth Vigée-Lebrun,hist_paintings\191124159.jpg
Perseus and Andromeda study for The Doom Fulfilled,Sir Edward Burne–Jones,hist_paintings\1642303756.jpg
Pheonix (Organic Rebirth),Eric N. Duran.,hist_paintings\308269739.jpg
Picnic in England,Rolinda Sharples,hist_paintings\592396936.jpg
Pines Along the Shore,Henri-Edmond Cross,hist_paintings\1796868810.jpg
Place des Lices,Paul Signac,hist_paintings\13178505.jpg
Ploughing in Nevers,Rosa Bonheur,hist_paintings\123163011.jpg
Point Lobos Carmel,Frederick Childe Hassam,hist_paintings\1106439875.jpg
Poppy Field,Claude Monet,hist_paintings\1359728452.jpg
Portrait 2,Gwen John,hist_paintings\1220475100.jpg
Portrait of a Lady,Caterina van Hemessen,hist_paintings\158706296.jpg
Portrait of a Lady,Maria Verelst,hist_paintings\2130406338.jpg
Portrait of a Lady,Marie Bouliard,hist_paintings\752578202.jpg
Portrait of a Man,Caterina van Hemessen,hist_paintings\765001532.jpg
Portrait of a man,Mary Cassatt,hist_paintings\2126744340.jpg
Portrait of a Violinist,Anne Vallayer Coster,hist_paintings\1332321121.jpg
Portrait of a young boy,Louise Elisabeth Vigée-Lebrun,hist_paintings\559438816.jpg
Portrait of a Young Women,Marie Bouliard,hist_paintings\1822353693.jpg
Portrait of Adele Bloch-Bauer I,Gustav Klimt,hist_paintings\1772484057.jpg
Portrait of Adélaïde Binart,Marie Bouliard,hist_paintings\759570316.jpg
Portrait of an elderly lady with her daughter,Anne Vallayer Coster,hist_paintings\1547570850.jpg
Portrait of André Rivoire,Henri de Toulouse–Lautrec,hist_paintings\917930924.jpg
Portrait of Anna Orzelska,Rosalba Carriera,hist_paintings\1945392762.jpg
Portrait of Dublin Tornelle,Adélaide Labille-Guiard,hist_paintings\1975382027.jpg
Portrait of Francesca Gommi Maratti,Carlo Maratti,hist_paintings\926553054.jpg
Portrait of François André Vincent,Adélaide Labille-Guiard,hist_paintings\676957289.jpg
Portrait of Friederike Maria Beer,Gustav Klimt,hist_paintings\1323278376.jpg
Portrait of Gabrielle Emilie,Marianne Loir,hist_paintings\1691321736.jpg
Portrait of Madame Charles Mitoire with Her Children,Adélaïde Labille-Guiard,hist_paintings\1506269465.jpg
Portrait of Penelope Smith,Maria Verelst,hist_paintings\1209899009.jpg
Portrait of Séverine,Amélie Beaury-Saurel,hist_paintings\1593004250.jpg
Portrait of the Artist,Mary Cassatt,hist_paintings\1814614737.jpg
Portrait Study,Mina Carlson-Bredberg,hist_paintings\1526379045.jpg
Portrait,Gwen John,hist_paintings\102466421.jpg
Portrat of a Woman,Caterina van Hemessen,hist_paintings\1437422486.jpg
Princess Anne Henriette of France,Lizinka de Mirbel,hist_paintings\999167347.jpg
Profile of Bourgeois Couple,Gwen John,hist_paintings\571663056.jpg
Promenade,Pierre-Auguste Renoir,hist_paintings\1517799470.jpg
Pygmalion and the Image - The Godhead Fires,Sir Edward Burne–Jones,hist_paintings\1000789264.jpg
Pygmalion and the Image - The Hand Refrains,Sir Edward Burne–Jones,hist_paintings\1715708982.jpg
Pygmalion and the Image - The Heart Desires,Sir Edward Burne–Jones,hist_paintings\191429578.jpg
Queen Demoncilly,Carina Duran,hist_paintings\1351441096.jpg
Queen Technala,Carina Duran,hist_paintings\530680914.jpg
Rain Landscape,Wassily Kandinsky,hist_paintings\1179806664.jpg
Reapers Resting in a Wheat Field,John Singer Sargent,hist_paintings\98059161.jpg
Rembrandt peale,Anna Claypoole Peale,hist_paintings\1151835198.jpg
Renassaince,Eric N. Duran,hist_paintings\818003620.jpg
Rendezvous in the Forest,Henri Rousseau,hist_paintings\1863705506.jpg
Repose,Jacqueline Marval,hist_paintings\1600445157.jpg
Rest on the Flight to Egypt,Luc-Olivier Merson,hist_paintings\1520170035.jpg
River Landscape,Rosa Bonheur,hist_paintings\1023344223.jpg
Rosebushes under the Trees,Gustav Klimt,hist_paintings\607385122.jpg
Roses,Abbott Handerson Thayer,hist_paintings\1705505844.jpg
Royal Family,Carina Duran,hist_paintings\2146371589.jpg
Rubens Peale,Anna Claypoole Peale,hist_paintings\91548348.jpg
Saint Jerome in His Study,Albrecht Dürer,hist_paintings\1420676882.jpg
Saint Jerome,Jusepe de Ribera,hist_paintings\1844394641.jpg
