PAINTING_NAME,ARTIST_NAME,PAINTING_IMAGE_PATH
The Virgin,Gustav Klimt,hist_paintings\523694229.jpg
The Vision of Ezekiel,Raffaello Sanzio,hist_paintings\327514710.jpg
The Vitruvian Man,Leonardo da Vinci,hist_paintings\1749356477.jpg
The wedding of the General and the Queen,Carina Duran,hist_paintings\1328606811.jpg
The Wellesley Grey Arabian Led through the Desert,Jacques–Laurent Agasse,hist_paintings\1671305137.jpg
To the Champs Elysees,Louis Abel-Truchet,hist_paintings\173283148.jpg
Tropical Forest with Monkeys,Henri Rousseau,hist_paintings\1825419216.jpg
Tulip and a Poppy,Willem van Leen,hist_paintings\1832379769.jpg
Tulip Field,Gerrit Willem Dijsselhof,hist_paintings\602626656.jpg
Two Dancers,Edgar Degas,hist_paintings\1736305372.jpg
Two Sisters (On the Terrace),Pierre-Auguste Renoir,hist_paintings\597733486.jpg
Two Tahitian Women,Paul Gauguin,hist_paintings\899337622.jpg
Two Women by the Shore,Henri-Edmond Cross,hist_paintings\2050605530.jpg
Two Young Peasant Women,Camille Pissarro,hist_paintings\162363699.jpg
Tyrolean Shrine,John Singer Sargent,hist_paintings\140604333.jpg
Unemployment,Käthe Kollwitz,hist_paintings\1117944538.jpg
Untitled,Melanee Alfonso,hist_paintings\1283925505.jpg
Untitled,Rosalba Carriera,hist_paintings\2002763378.jpg
Untitled,Wassily Kandinsky,hist_paintings\207180781.jpg
Venus and Adonis,Titian,hist_paintings\285064518.jpg
Venus at the Dawn of Creation,Eric N. Duran,hist_paintings\1474549130.jpg
Venus of Urbino,Titian,hist_paintings\812423600.jpg
View of Arles Flowering Orchards,Vincent van Gogh,hist_paintings\103774046.jpg
View of Delft,Johannes Vermeer,hist_paintings\505373198.jpg
Violin Player with a Wine Glass,Dirck van Baburen,hist_paintings\861066328.jpg
Virgin and Child with the Young Saint John the Baptist,Sandro Botticelli,hist_paintings\1296613487.jpg
Virgin Enthroned,Abbott Handerson Thayer,hist_paintings\1344991163.jpg
Visit to the Hospital,Käthe Kollwitz,hist_paintings\1488600745.jpg
Want,Käthe Kollwitz,hist_paintings\400700032.jpg
Water Lilies,Claude Monet,hist_paintings\1749716186.jpg
Watercolor Cattleya,Alice Bailly,hist_paintings\806635713.jpg
Wheat Field with Cypresses,Vincent Van Gogh,hist_paintings\1173463511.jpg
Woman and Cupid,Marie-Victoire Lemoine,hist_paintings\1596896747.jpg
Woman Bathing Her Feet in a Brook,Camille Pissarro,hist_paintings\196512130.jpg
Woman Holding a Balance,Johannes Vermeer,hist_paintings\1152487549.jpg
Woman in Front of a mirror,Louise Catherine Breslau,hist_paintings\750294661.jpg
Woman with a Parasol,Claude Monet,hist_paintings\1045674694.jpg
Woman with Cloak,Gwen John,hist_paintings\909022438.jpg
Woman with Fan,Pierre-Auguste Renoir,hist_paintings\973232335.jpg
Woman With Guitar,Maria Blanchard,hist_paintings\819334506.jpg
Young Lady,Édouard Manet,hist_paintings\644861684.jpg
Young Peasant Girls Resting in the Fields near Pontoise,Camille Pissarro,hist_paintings\937298647.jpg
Young Woman at Work,Françoise Duparc,hist_paintings\847932870.jpg
Young Woman with a Pearl Necklace,Johannes Vermeer,hist_paintings\1438206608.jpg
Young Woman with a Water Pitcher,Johannes Vermeer,hist_paintings\1267824773.jpg
Zebra,Jacques–Laurent Agasse,hist_paintings\1875322901.jpg
